;Número;Grupo Alimentar;Descrição dos alimentos;Preço (100g);Energia;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra;Cálcio;Magnésio;Fósforo;Ferro;Sódio;Potássio;Zinco;Retinol (A);Tiamina (B1);Riboflavina (B2);Vitamina C
0;1;Arroz, Pães, Massas, Batata e Mandioca (6 porções - 1 porção 150 calorias);Arroz, integral, cozido;0,8;124;2,6;1;0;25,8;2,7;5;59;106;0,3;1;75;0,7;0;0,08;0;0
1;3;Arroz, Pães, Massas, Batata e Mandioca ;Arroz, tipo 1, cozido;0,39;128;2,5;0,2;0;28,1;1,6;4;2;18;0,1;1;15;0,5;0;0;0;0
2;8;Arroz, Pães, Massas, Batata e Mandioca ;Biscoito, doce, maisena;1,13;443;8,1;12;0;75,2;2,1;54;37;166;1,8;352;142;1;0;1,01;0,42;6,2
3;9;Arroz, Pães, Massas, Batata e Mandioca ;Biscoito, doce, recheado com chocolate;2,22;472;6,4;19,6;0;70,5;3;27;48;139;2,3;239;232;1;0;0,32;0,39;3,5
4;10;Arroz, Pães, Massas, Batata e Mandioca ;Biscoito, doce, recheado com morango;1,56;471;5,7;19,6;0;71;1,5;36;27;138;1,5;230;113;0,7;0;0,9;0,42;0
5;11;Arroz, Pães, Massas, Batata e Mandioca ;Biscoito, doce, wafer, recheado de chocolate;1,89;502;5,6;24,7;0;67,5;1,8;23;48;124;2,4;137;240;0,9;0;0,37;0,03;0
6;12;Arroz, Pães, Massas, Batata e Mandioca ;Biscoito, doce, wafer, recheado de morango;2,55;513;4,5;26,4;1;67,4;0,8;14;19;73;1,1;120;75;0,5;0;0,36;0;0
7;13;Arroz, Pães, Massas, Batata e Mandioca ;Biscoito, salgado, cream cracker;1,75;432;10,1;14,4;0;68,7;2,5;20;40;148;2,2;854;181;1,1;0;0,71;0,13;0
8;16;Arroz, Pães, Massas, Batata e Mandioca ;Bolo, pronto, chocolate;2,94;410;6,2;18,5;77;54,7;1,4;75;28;197;2,1;283;212;0,7;0;0,13;0,09;0
9;18;Arroz, Pães, Massas, Batata e Mandioca ;Bolo, pronto, milho;2,66;311;4,8;12,4;82;45,1;0,7;83;10;128;0,7;134;118;0,4;57;0,11;0,05;0
10;25;Arroz, Pães, Massas, Batata e Mandioca ;Cereal matinal, milho;1,9;365;7,2;1;0;83,8;4,1;143;11;101;3,1;655;83;7,6;0;0,76;1,02;17,3
11;26;Arroz, Pães, Massas, Batata e Mandioca ;Cereal matinal, milho, açucar;2,53;377;4,7;0,7;0;88,8;2,1;56;8;43;3,9;405;52;8,5;0;0,73;1,11;14,6
12;27;Arroz, Pães, Massas, Batata e Mandioca ;Creme de arroz, pó;2,48;386;7;1,2;0;83,9;1,1;7;51;153;0,6;1;115;1,9;0;0,22;0;0
13;28;Arroz, Pães, Massas, Batata e Mandioca ;Creme de milho, pó;0,3;333;4,8;1,6;0;86,1;3,7;323;30;303;4,3;594;166;0,8;0;0,74;0;96,3
14;33;Arroz, Pães, Massas, Batata e Mandioca ;Farinha, de milho, amarela;0,73;351;7,2;1,5;0;79,1;5,5;1;31;84;2,3;45;58;0,6;0;0,25;0;0
15;39;Arroz, Pães, Massas, Batata e Mandioca ;Macarrão, instantâneo;2,25;436;8,8;17,2;0;62,4;5,6;18;19;112;0,8;1516;148;0,5;0;1,18;0,04;0
16;42;Arroz, Pães, Massas, Batata e Mandioca ;Milho, amido, cru;2,15;361;0,6;0;0;87,1;0,7;1;3;13;0,1;8;9;0,1;0;0;0;0
